movie_id,title,year,runtime,genres,actor_ids
tt10396038,Neither Hero Nor Traitor,2020,73,"Drama,History","nm6286339,nm0261957,nm8358700,nm7506705"
tt10397306,Madison,2018,87,"Adventure,Drama,Family","nm10055076,nm0525518,nm0913217,nm12691322"
tt10397752,Disordered,2019,89,"Animation,Documentary,Family",nm11496979
tt10414756,Party Hard,2020,103,"Comedy,Horror","nm6073478,nm10731923,nm10731924,nm4581810"
tt10423160,Kaiji: Final Game,2019,128,Adventure,"nm7139946,nm0297885,nm4445437,nm3810403,nm5018289,nm2968873,nm4341140,nm10421125"
tt10935362,The Demon of Daingerfield,2020,23,Horror,nm4049779
tt10936214,Bring 'em Black,2018,120,Western,"nm1253986,nm9555778,nm8531011,nm5274937"
tt10937670,Figli,2020,97,Comedy,"nm0348347,nm0181246,nm0557609,nm2862095"
tt10943622,This Is Not Normal,2019,75,Documentary,"nm1171860,nm1544202"
tt10944276,Death of a Telemarketer,2020,88,"Comedy,Drama,Thriller","nm2031358,nm0355097,nm0005286,nm5131141"
tt10955330,Hotline,2017,96,Horror,nm10957488
tt10961186,A Starry Sky Above the Roman Ghetto,2020,100,Drama,"nm10902118,nm0059698,nm7754164,nm8035760"
tt10962562,All-American Boy,2018,110,Drama,"nm10035815,nm6565848,nm2326082,nm5869699"
tt10962762,Built Beautiful: An Architecture and Neuroscience Love Story with Narration by Martha Stewart,2016,130,Documentary,nm11908624
tt10968008,Taanashah,2020,101,"Action,Drama","nm10991909,nm2336177,nm10991910,nm11254003"
tt10969190,Stick Monster Movie,2018,87,Fantasy,"nm8762035,nm4027115"
tt10975262,Pygmalionnes,2020,85,Documentary,nm3691738
tt10975750,Concrete Plans,2017,91,"Crime,Thriller","nm2041861,nm2295590,nm2687517,nm2362244"
tt11702936,Globos Negros,2018,111,Thriller,"nm4562853,nm10566774,nm9765788,nm10851996,nm6636916,nm7931396,nm7448709"
tt11705758,Mascarados,2020,66,Drama,"nm11315720,nm11315721,nm8258340,nm11315722"
tt11713638,Aos Pedaços,2019,93,Drama,"nm3804032,nm0210267,nm0819324,nm3853380"
