actor_id,name,birthYear,deathYear,primaryProfession
nm0130335,Manuel Callau,1946,\N,actor
nm0130429,Luis Callejo,1970,\N,"actor,producer"
nm0130435,María Fernanda Callejón,\N,\N,actress
nm0130438,Christopher Callen,\N,\N,"actress,soundtrack"
nm0130502,Dayton Callie,1946,\N,"actor,writer,producer"
nm0130536,James Callis,1971,\N,"actor,writer,producer"
nm0130736,Daniel Caltagirone,1972,\N,actor
nm0130860,Mhairi Calvey,1988,\N,"actress,producer,writer"
nm0131060,Alejandro Camacho,1954,\N,"actor,producer,director"
nm0131246,Felipe Camargo,1960,\N,"actor,assistant_director"
nm0131828,Ivan Camilo,\N,\N,"actor,miscellaneous"
nm0132202,Amelia Campbell,1965,\N,actress
nm0132285,Charles C. Campbell,1968,\N,"actor,miscellaneous,producer"
nm0132757,Nicholas Campbell,1952,\N,"actor,director,writer"
nm0133973,Adolfo Luxúria Canibal,\N,\N,"actor,composer"
nm0134072,Bobby Cannavale,1970,\N,"actor,soundtrack,writer"
nm0134078,Canned Heat,\N,\N,"soundtrack,composer"
nm0134137,Johnny Cannizzaro,\N,\N,"actor,writer,producer"
nm0134357,Roberto Cano,1973,\N,actor
nm0134388,Sibylle Canonica,1957,\N,actress
nm0134622,Héctor Cantolla,1946,\N,"miscellaneous,actor"
nm0134693,Bill Cantos,\N,\N,"music_department,soundtrack,actor"
nm0135085,António Capelo,1956,\N,actor
nm0135188,Lito Capina,\N,\N,actor
nm0135196,Ben Caplan,\N,\N,"actor,director,writer"
nm0135292,Carmine Capobianco,1958,2021,"actor,writer,producer"
nm0135427,Joe Capozzi,\N,\N,"actor,producer,writer"
nm0135439,Al Capp,1909,1979,"writer,actor,miscellaneous"
nm0135586,Fritjof Capra,1939,\N,writer
nm0135610,Tony Caprari,\N,\N,"actor,assistant_director"
nm0135821,Omar Caraballo,\N,\N,"miscellaneous,actor,stunts"
nm0135824,Chiqui Carabante,\N,\N,"director,writer,actor"
nm0135875,David Caracol,\N,\N,actor
nm0135895,Chase Masterson,\N,\N,"actress,producer,soundtrack"
nm0136036,Boris Cavazza,1939,\N,"actor,writer"
nm0136393,Oscar Cardenas,\N,\N,"actor,producer,writer"
nm0136572,Manolo Cardona,1977,\N,"actor,producer,director"
nm0136642,Ivan Cardoso,1952,\N,"director,producer,writer"
nm0136797,Steve Carell,1962,\N,"actor,producer,writer"
nm0136953,Geoffrey Carey,\N,\N,"actor,miscellaneous"
nm0136985,Kristin Carey,1969,\N,actress
nm0137021,Peter Carey,\N,\N,actor
nm0137233,Philippe Cariou,\N,\N,actor
nm0137747,Erasmo Carlos,1941,2022,"music_department,soundtrack,actor"
nm0137923,Carl Harry Carlson,\N,\N,actor
nm0137955,Kevin Carlson,1962,\N,"actor,miscellaneous,soundtrack"
nm0138371,Tonantzin Carmelo,\N,\N,"actress,miscellaneous"
nm0138427,Hayley Carmichael,\N,\N,actress
nm0139175,Antoni Corone,1955,\N,"actor,producer,writer"
nm0139528,Renato Carpentieri,1943,\N,actor
nm0139584,Adrian Carr,1952,\N,"editor,director,actor"
nm0139743,Jimmy Carr,1972,\N,"miscellaneous,writer,actor"
nm0139858,Ski Carr,\N,\N,"actor,stunts"
nm0139910,Gloria Carrá,1971,\N,"actress,soundtrack"
nm0140262,Victoria Carreras,1966,\N,"actress,writer,producer"
nm0140294,Carlota Carretero,1963,\N,"actress,producer"
nm0141140,Isabelle Carré,1971,\N,"actress,soundtrack"
nm0141283,Laura Carson,\N,\N,"actress,producer,writer"
nm0141418,Marcelia Cartaxo,1963,\N,"actress,director,miscellaneous"
nm0141613,Erinn Hayes,1976,\N,"actress,writer,producer"
nm0141699,Jimmy Carter,1924,\N,"actor,soundtrack,miscellaneous"
nm0141710,Joelle Carter,1972,\N,"actress,producer,soundtrack"
nm0141918,Rubin 'Hurricane' Carter,1937,2014,"actor,writer"
nm0141931,Sarah Carter,1980,\N,"actress,producer,director"
nm0141997,Anna Carteret,1942,\N,actress
nm0142500,Vladimir Carvalho,1935,\N,"director,writer,producer"
nm0142677,Pedro Casablanc,1963,\N,"actor,director,writer"
nm0142766,Maurizio Casagrande,1961,\N,"actor,director,writer"
nm0142808,Diego Casale,1971,\N,actor
nm0142875,Roger Casamajor,1976,\N,"actor,music_department"
nm0142910,Delia Casanova,1948,\N,actress
nm0142972,Amira Casar,1971,\N,actress
nm0143295,Max Casella,\N,\N,"actor,soundtrack,producer"
nm0143511,Padraig O'Loinsigh,1966,\N,actor
nm0143683,Demetrio Casile,\N,\N,"writer,director,actor"
nm0143684,Geneviève Casile,1938,\N,actress
nm0144519,Cristina Castaño,1978,\N,"actress,soundtrack"
nm0144812,Sergio Castellitto,1953,\N,"actor,writer,director"
nm0144843,Federico Castelluccio,1964,\N,"actor,director,producer"
nm0144887,Virgílio Castelo,1953,\N,"actor,production_manager,miscellaneous"
nm0145102,Irán Castillo,1977,\N,"actress,soundtrack,music_department"
nm0145162,Patricio Castillo,1939,2021,"actor,soundtrack,composer"
nm0145240,Monti Castiñeiras,\N,\N,"actor,producer"
nm0145725,Claudio Castrogiovanni,1969,\N,actor
nm0145951,Antonio Catania,1952,\N,actor
nm0145963,Maurizio Catania,\N,\N,actor
nm0146052,Challen Cates,\N,\N,"actress,producer"
nm0146264,Michael Caton,1943,\N,"actor,soundtrack"
nm0146414,Caroline Catz,1969,\N,"actress,director,soundtrack"
nm0146455,Toran Caudell,1982,\N,"actor,composer,soundtrack"
nm0146875,Elisabetta Cavallotti,1967,\N,actress
nm0146915,Tom Cavanagh,1963,\N,"actor,producer,director"
nm0147022,Nick Cave,1957,\N,"music_artist,soundtrack,composer"
nm0147147,Henry Cavill,1983,\N,"actor,miscellaneous,producer"
nm0147307,Candis Cayne,1971,\N,"actress,director,miscellaneous"
nm0147310,Stephanie Cayo,1988,\N,"actress,producer,soundtrack"
nm0147544,Idit Cebula,\N,\N,"actress,director,writer"
nm0147825,Cedric The Entertainer,1964,\N,"actor,producer,writer"
nm0147834,Pablo Cedrón,1958,2017,"actor,writer,editor"
nm0148387,Laura Cepeda,1953,\N,"actress,casting_director,casting_department"
nm0148516,Aleksey Serebryakov,1964,\N,"actor,editorial_department"
nm0148915,Angela Cerveira,\N,\N,"production_manager,actress,producer"
nm0148982,Valentina Cervi,1974,\N,"actress,sound_department,soundtrack"
nm0149142,Meral Çetinkaya,1945,\N,actress
nm0149146,Vojin Cetkovic,1971,\N,"actor,soundtrack"
nm0149226,Seung-Won Cha,1970,\N,actor
nm0149286,Janusz Chabior,1963,\N,"actor,music_department"
nm0149434,Husam Chadat,1966,\N,"actor,miscellaneous,director"
nm0149816,Chiranjit,1955,\N,"actor,writer,director"
nm0149835,J.D. Chakravarthi,1970,\N,"actor,director,writer"
nm0149837,Sabyasachi Chakrabarty,1956,\N,"actor,miscellaneous"
nm0149867,Chalapathi Rao,1944,2022,actor
nm0149998,John Challis,1942,2021,"actor,soundtrack"
nm0150457,Tom Chambers,1977,\N,"actor,writer,producer"
nm0150897,Fruit Chan,1959,\N,"actor,director,producer"
nm0150925,Cha In-pyo,1967,\N,"actor,director,writer"
nm0150973,Kenneth Chan,\N,\N,"actor,assistant_director,producer"
nm0150994,Chit-Man Chan,\N,\N,"actor,director,writer"
nm0151048,Adia Chan,1971,\N,"actress,soundtrack"
nm0151285,Barun Chanda,1945,\N,"actor,casting_department"
nm0151526,Chandramohan,\N,\N,actor
nm0151534,Sudha Chandran,1965,\N,actress
nm0151747,Ken Chang,1975,\N,actor
nm0151755,Kuo-Chu Chang,1948,\N,"actor,music_department,script_department"
nm0151822,Stephen Chang,\N,\N,"actor,producer,writer"
nm0152035,Delphine Chanéac,1978,\N,actress
nm0152082,Damian Chapa,1963,\N,"actor,director,producer"
nm0152356,Douglas Chapman,\N,\N,"stunts,actor,assistant_director"
nm0153068,Jonathan Fahn,1965,\N,"actor,director,producer"
nm0153100,Melissa Fahn,1967,\N,"actress,miscellaneous,music_department"
nm0153740,David Chase,1945,\N,"producer,writer,miscellaneous"
nm0153973,Lyuben Chatalov,1950,\N,actor
nm0154108,Abhishek Chatterjee,1964,2022,actor
nm0154146,Prasenjit Chatterjee,1962,\N,"producer,actor,director"
nm0154164,Soumitra Chatterjee,1935,2020,"actor,writer,miscellaneous"
nm0154229,Iris Chatziantoniou,\N,\N,actress
nm0154240,Minh Chau,\N,\N,actress
nm0154899,Shafqat Cheema,1955,\N,actor
nm0155150,Alexandre Chen,\N,\N,"location_management,actor,miscellaneous"
nm0155164,Bor-Jeng Chen,1955,\N,"actor,art_department"
nm0155371,Shu-Fang Chen,1939,\N,"actress,soundtrack"
nm0155389,Terry Chen,1975,\N,"actor,executive"
nm0155587,Kent Cheng,1951,\N,"actor,director,producer"
nm0155693,Kristin Chenoweth,1968,\N,"actress,soundtrack,producer"
nm0155741,Cheran,1970,\N,"actor,writer,director"
nm0155866,Naima Lamcharki,\N,\N,actress
nm0155979,Aleksandr Chernyavskiy,1957,\N,actor
nm0156033,Michael Cherrie,\N,\N,actor
nm0156057,Byron Cherry,1955,\N,"actor,producer,director"
nm0156337,Rodney Chester,\N,\N,"actor,producer"
nm0156470,Emotion Cheung,\N,\N,actor
nm0156492,Julian Cheung,1971,\N,"actor,soundtrack"
nm0156495,Tai-Bo,1950,\N,"actor,assistant_director,miscellaneous"
nm0156579,Tat-Ming Cheung,1964,\N,"actor,writer,producer"
nm0156697,Philippe Chevallier,1956,\N,"actor,writer,producer"
nm0156748,Hugolin Chevrette-Landesque,\N,\N,"actor,writer"
nm0156938,Dominic Chianese Jr.,\N,\N,actor
nm0157098,Laura Chiatti,1982,\N,"actress,soundtrack"
nm0157115,Chiemi Chiba,1975,\N,"actress,soundtrack"
nm0157607,Linden Chiles,1933,2013,actor
nm0157785,Siu-Ho Chin,1963,\N,"actor,music_department"
nm0157888,Ching Siu-Lung,\N,\N,"sound_department,actor,special_effects"
nm0158030,Juan Chioran,1963,\N,"actor,miscellaneous,soundtrack"
nm0158335,Chitra,1965,2021,"music_artist,actress,soundtrack"
nm0158414,Wenzhuo Zhao,1972,\N,"actor,director"
nm0158626,John Cho,1972,\N,"actor,producer,soundtrack"
nm0159159,Prem Chopra,1935,\N,"actor,music_department"
nm0159469,Kathy Chow,1966,\N,"actress,make_up_department,producer"
nm0159745,Casper Christensen,1968,\N,"writer,actor,producer"
nm0159776,Erika Christensen,1982,\N,"actress,producer,soundtrack"
nm0159802,Jesper Christensen,1948,\N,"actor,director,producer"
nm0160400,Esther Gemsch,1955,\N,actress
nm0160429,Angela Christlieb,\N,\N,"editor,director,writer"
nm0160865,Norman Chu,1955,\N,"actor,miscellaneous,director"
nm0161133,Jeon Do-yeon,1973,\N,actress
nm0161446,John Churchill,\N,\N,"actor,writer,producer"
nm0161538,Mike Chute,\N,\N,"stunts,actor,producer"
nm0161607,Andrzej Chyra,1964,\N,"actor,assistant_director"
nm0161729,Ivana Chýlková,1963,\N,"actress,soundtrack"
nm0161809,Anna Maria Cianciulli,\N,\N,"actress,producer,director"
nm0161910,Consuelo Ciatti,\N,\N,actress
nm0161970,Robert Cicchini,1959,\N,"actor,director,producer"
nm0161980,Jude Ciccolella,1947,\N,"actor,soundtrack"
nm0162307,Jana Cilliers,\N,\N,"actress,director"
nm0162408,Davide Cincis,\N,\N,"assistant_director,actor,director"
nm0162502,Luís Miguel Cintra,1949,\N,"actor,writer,miscellaneous"
nm0163319,June Claman,1930,2021,actress
nm0163794,Craig Clark,1960,\N,"animation_department,art_department,actor"
nm0163988,Clark Gregg,1962,\N,"actor,director,writer"
nm0164214,Linda Clark,\N,\N,actress
nm0164766,Gary Clarke,1933,\N,"actor,writer,director"
nm0164845,Kathy Kiera Clarke,\N,\N,actress
nm0164995,Sharon D. Clarke,1966,\N,"actress,soundtrack"
nm0165145,Robert Clary,1926,2022,"actor,soundtrack"
